episodes,alpha,epsilon,success,AveStep,MinStep
50000,0.1,0.1,0.0,0.0,90
50000,0.2,0.1,0.0,0.0,90
50000,0.30000000000000004,0.1,0.0,0.0,90
50000,0.4,0.1,0.0,0.0,90
50000,0.5,0.1,0.0,0.0,90
50000,0.6000000000000001,0.1,0.0,0.0,90
50000,0.7000000000000001,0.1,0.0,0.0,90
50000,0.8,0.1,0.0,0.0,90
50000,0.9,0.1,0.0,0.0,90
50000,1.0,0.1,0.0,0.0,90
50000,0.1,0.2,0.11308,19.021223912274497,13
50000,0.2,0.2,0.11308,19.021223912274497,13
50000,0.30000000000000004,0.2,0.11308,19.021223912274497,13
50000,0.4,0.2,0.11308,19.021223912274497,13
50000,0.5,0.2,0.11308,19.021223912274497,13
50000,0.6000000000000001,0.2,0.11382,18.927604990335617,13
50000,1.0E-4,1.0E-4,0.0,0.0,90
50000,2.0E-4,1.0E-4,0.0,0.0,90
50000,3.0000000000000003E-4,1.0E-4,0.0,0.0,90
50000,4.0E-4,1.0E-4,0.0,0.0,90
50000,5.0E-4,1.0E-4,0.0,0.0,90
50000,7.0E-5,0.1,0.0,0.0,90
50000,8.0E-4,0.0323,0.0,0.0,90
50000,5.0E-4,0.0568,4.0E-5,79.0,23
50000,2.0E-4,0.1756,0.10224,14.502347417840376,13
50000,6.000000000000001E-4,0.1885,0.08966,14.609190274369842,13
50000,5.0E-4,0.13019999999999998,0.29056,14.128716960352422,13
50000,1.0E-4,0.07310000000000001,0.0,0.0,90
50000,8.0E-4,0.1475,0.25386,14.274560781533129,13
50000,4.0E-4,0.07640000000000001,0.0,0.0,90
50000,9.000000000000001E-4,0.08090000000000001,0.0,0.0,90
50000,6.000000000000001E-4,0.1386,0.26828,14.192038169077083,13
50000,2.0E-4,0.12919999999999998,0.29414,14.116883116883116,13
50000,6.000000000000001E-4,0.048900000000000006,0.0,0.0,90
50000,3.0000000000000003E-4,0.1614,0.0,0.0,90
50000,3.0000000000000003E-4,0.1607,0.0,0.0,90
50000,1.0E-4,0.0524,1.0E-4,41.0,13
50000,2.0E-4,0.1561,0.0,0.0,90
50000,8.0E-4,0.04680000000000001,0.0,0.0,90
50000,8.0E-4,0.1004,0.0,0.0,90
50000,4.0E-4,0.08560000000000001,0.2788,13.74390243902439,13
50000,6.000000000000001E-4,0.1665,0.0,0.0,90
50000,1.0E-4,0.0168,0.0,0.0,90
50000,5.0E-4,0.16219999999999998,0.0,0.0,90
50000,8.0E-4,0.0786,0.0,0.0,90
50000,1.0E-4,0.0017000000000000001,0.0,0.0,90
50000,8.0E-4,0.0207,0.0,0.0,90
50000,9.000000000000001E-4,0.1881,0.09054,14.602827479567042,13
50000,4.0E-4,0.175,0.10342,14.491394314445948,13
50000,4.0E-4,0.16,0.0,0.0,90
50000,4.0E-4,0.045000000000000005,0.0,0.0,90
50000,9.000000000000001E-4,0.13419999999999999,0.27846,14.162249515190691,13
50000,3.0000000000000003E-4,0.051000000000000004,1.6E-4,51.0,13
50000,8.0E-4,0.0241,0.0,0.0,90
50000,7.000000000000001E-4,0.11410000000000001,0.0,0.0,90
50000,4.0E-4,0.061500000000000006,0.0,0.0,90
50000,4.0E-4,0.1857,0.09344,14.57277397260274,13
50000,9.000000000000001E-4,0.05450000000000001,1.4E-4,58.142857142857146,13
50000,9.000000000000001E-4,0.08230000000000001,0.06162,13.753002271989613,13
50000,8.0E-4,0.061900000000000004,0.0,0.0,90
50000,1.0E-4,0.1945,0.19078,14.64713282314708,13
50000,9.000000000000001E-4,0.0913,0.25342,13.794728119327598,13
50000,8.0E-4,0.0134,0.0,0.0,90
50000,9.000000000000001E-4,0.09620000000000001,0.0,0.0,90
50000,6.000000000000001E-4,0.04850000000000001,0.0,0.0,90
50000,6.000000000000001E-4,0.0693,0.0,0.0,90
50000,6.000000000000001E-4,0.1344,0.27954,14.163625956929241,13
50000,8.0E-4,0.059300000000000005,0.0,0.0,90
50000,8.0E-4,0.10880000000000001,0.25976,13.933323067446874,13
50000,9.000000000000001E-4,0.0167,0.0,0.0,90
50000,5.0E-4,0.1818,0.099,14.543838383838384,13
50000,8.0E-4,0.057300000000000004,2.0E-5,135.0,90
50000,2.0E-4,0.1184,0.0,0.0,90
50000,5.0E-4,0.008199999999999999,0.0,0.0,90
50000,6.000000000000001E-4,0.099,0.0,0.0,90
50000,2.0E-4,0.1902,0.1994,14.599799398194584,13
50000,8.0E-4,0.0868,0.2731,13.745660930062249,13
50000,7.000000000000001E-4,0.1985,0.18736,14.681682322801025,13
50000,8.0E-4,0.1553,0.0,0.0,90
50000,4.0E-4,0.1387,0.26794,14.193252220646414,13
50000,4.0E-4,0.0539,1.6E-4,52.75,13
50000,2.0E-4,0.128,0.2972,14.10942126514132,13
50000,5.0E-4,0.0219,0.0,0.0,90
50000,4.0E-4,0.1218,0.0,0.0,90
50000,4.0E-4,0.07840000000000001,0.0,0.0,90
50000,2.0E-4,0.13,0.29154,14.12451121629965,13
50000,7.000000000000001E-4,0.03660000000000001,0.0,0.0,90
50000,5.0E-4,0.011,0.0,0.0,90
50000,2.0E-4,0.055600000000000004,8.0E-5,56.0,13
50000,8.0E-4,0.0167,0.0,0.0,90
50000,6.000000000000001E-4,0.0345,0.0,0.0,90
